11187,5964,7605,5830,12926,13704,4552,13090,14282,11584,12908,761,768,5022,12530,10852,5158,14675,6420,9578,2436,1263,3430,14371,11189,1442,11743,3780,5286,13833,14232,5535,7072,8118,6567,12546,6107,5213,7558,3682,14236,2091,13155,7929,8480,183,4666,734,6778,10671,12695,9534,5492,13234,14377,14199,8732,12787,12815,7590,7461,10453,10929,9062,183,6522,3886,475,8323,3832,5905,5064,6277,1991,7296,12763,6392,8248,12241,3699,11165,1486,1261,9436,9846,12412,870,12608,5025,6325,11742,125,14258,13337,9589,2988,12035,7991,4175,10570,14709,6706,10272,4676,3367,291,9172,306,5643,4332,12829,7761,7831,2866,8407,8121,9154,7141,3539,12796
6766,6644,11608,347,4574,14152,3751,8046,970,11106,9702,8939,11343,12047,12324,1504,6082,13793,11787,1095,11280,6849,2747,7004,12846,10747,13251,328,11392,4191,13203,3542,1569,8411,4846,9487,445,10977,863,6277,13481,9881,5954,1030,1909,7196,13747,2832,6560,8143,2303,13734,4781,5943,7652,10665,11137,9680,8644,7571,6053,6399,14059,13110,209,911,3452,1505,11738,1652,4984,1057,12922,753,2780,1700,13772,13316,5702,3721,2910,10774,9441,14045,7283,728,2097,5066,1313,10513,8536,5176,5323,4509,3133,7,14344,3344,804,4500,2787,2482,12077,14306,10344,6311,7455,10587,11279,1729,7827,9318,6628,5730,2033,7616,13639,6787,5786,1850
5643,1170,12571,9031,9629,2978,3176,10336,6472,4693,14267,3884,8294,13688,12759,1092,1538,608,1918,10057,5338,11800,8640,3060,6108,7607,7765,14796,13987,13028,1137,3450,3793,3751,5172,5227,2974,5513,13664,10583,2847,3520,9682,10378,6063,8170,6058,1359,5849,3759,7640,13797,4087,13295,4751,12692,12533,10797,10235,13585,6494,13044,5984,13739,619,646,10558,11520,748,8179,11313,4757,6009,4896,14776,9987,13631,14486,2688,9557,1594,8887,2532,14486,12076,808,14465,3001,1478,9010,6913,7307,2397,9225,11743,1695,10930,8045,1579,7467,14373,542,11873,11945,293,5080,4552,6812,3484,905,8952,9397,7454,7670,9731,11873,4517,156,10443,4989
13341,5247,10321,6227,5904,7407,14119,12683,13083,7020,208,9722,635,764,5834,861,7941,6014,7073,9954,14227,1844,11020,9510,13863,10331,8413,3606,7166,14417,12404,8891,3747,11270,9961,12417,11882,11560,10134,10226,5771,2601,5062,5875,5479,13185,5289,10452,14673,10848,14758,10023,845,14049,4155,4701,5347,8438,2057,12479,10722,12747,9693,5363,11876,11605,10326,14370,625,11421,14379,14040,14219,10299,95,12496,13666,11458,635,9624,4454,14314,11048,13825,5524,5563,14125,13783,12724,3821,4155,11011,14199,6383,1791,8923,11754,14694,5732,11751,5111,3060,11871,1818,7332,2423,9809,3834,2888,1702,14036,5807,7697,8231,2412,3640,7164,10317,5162,10655
8008,11768,10960,7836,10191,9199,13260,5983,11263,3534,13397,9506,1084,8398,4793,1298,8564,1420,10617,9289,5320,6900,9444,555,7394,10695,2557,10315,10447,3872,12157,14722,9279,12854,860,5549,7432,281,1997,949,11051,11295,4632,14692,4846,13271,9679,1505,4279,5462,12243,2241,3094,26,9597,7637,12145,6497,1333,4417,12572,9343,9307,14560,1124,3001,10862,2161,9515,5473,3943,13260,11929,4312,13090,5648,6607,2647,472,3038,11271,696,12086,8628,6849,3112,10675,9095,8550,2260,10639,410,4650,2184,13796,7402,3308,7031,9996,8911,1363,13258,1067,5799,1370,9797,10137,7703,7827,10860,2093,6472,8660,9368,3580,9059,11539,8913,4197,6555
12028,7120,6695,7667,8490,10483,14010,4520,13936,9140,472,13610,3371,14562,1625,13087,1337,8642,13696,10377,4220,1830,8278,1482,5130,1900,14473,12506,1718,8642,12476,6733,7465,2072,5539,5611,9573,6915,5412,1731,10322,9267,10480,12128,6788,7569,3937,3088,11141,2505,860,8183,7030,2492,13354,1883,4002,506,6859,6518,979,5381,5502,1064,14045,3653,8778,3855,6582,13929,4788,7100,1421,8372,6685,12740,13260,12464,5285,13198,1761,9111,6498,14267,1344,8022,2362,11301,5481,10315,2044,6405,14134,8929,6686,5452,12505,5544,9553,8830,7284,1373,9315,7222,13056,7476,12651,12604,6386,3502,11703,13999,3352,9028,5609,233,8824,7343,2823,9051
282,6001,10273,13856,11778,4675,9222,68,10596,11832,13717,13447,5655,423,2813,9395,7329,3200,14287,10041,2078,6835,13463,234,5267,7882,9363,6743,5512,6890,11069,9852,6975,837,5344,9076,4846,9877,1208,3988,7177,7227,7633,4371,458,8049,6383,9809,1377,2451,14160,9571,3152,1332,14317,12817,300,13275,9779,3516,12943,6129,4775,10171,11638,1599,1816,14539,14456,2316,7019,7757,9358,2476,2220,4553,5600,2535,7619,13009,4403,2292,12886,5284,14720,1425,14219,9178,282,12562,2281,11652,3010,13412,4828,6985,9034,9140,7680,5915,9518,7335,7996,3161,6472,7596,2679,7865,3944,9330,1576,2286,5112,8495,11584,11450,10922,6306,7664,326
10746,3831,176,509,2746,5848,97,11742,8123,7664,13218,7232,13590,12506,1880,8089,4027,12140,3175,12925,562,6632,2357,4191,3601,13155,10401,3830,1373,2,8693,5974,5193,712,13452,5973,2116,8306,13090,2528,10408,1219,14590,2000,150,1369,8117,3399,6840,3425,7088,1640,11446,1401,4619,14019,2546,3998,11239,13379,5353,2571,9757,11267,8914,1110,11271,4842,3571,6950,3018,12068,14417,10507,882,3317,8602,195,3170,12220,9574,7401,2846,8665,1918,4815,12159,13134,7354,9030,4600,1472,12303,1291,6289,5158,10439,5752,1273,8890,10731,8493,9769,3753,278,6695,14140,12633,14503,7239,8920,12395,8613,6250,6235,13233,3898,8372,7219,9837
5799,7883,12883,3103,14431,9939,1325,10458,13724,5237,7850,9840,711,932,848,4681,6055,1503,12862,9047,14633,10365,13981,12214,1494,3008,7213,6069,1225,1074,11483,9276,9538,9652,36,13479,910,10088,4631,13064,7628,8871,5128,12560,7319,12887,10335,8885,13328,5756,1231,14419,12553,2850,3065,9333,1795,10104,11842,13953,13167,5859,9152,12218,81,13712,8150,14257,8362,794,7762,11396,2355,6354,5876,2103,11069,1016,3233,13834,7874,10024,12221,6475,8195,8492,8582,10801,13618,7189,6193,88,6028,9947,2688,329,10596,13212,12461,9176,5040,5435,3629,12582,1262,5787,14620,5687,1434,9232,1408,14394,13245,8497,10041,6873,2001,7135,3212,3500
13264,5512,2069,12485,486,12774,10108,8809,10713,12549,2434,1509,6613,1018,2113,1120,10423,13798,4985,8053,1678,10051,8229,4194,11189,10517,14287,13595,5260,620,2933,12147,12936,3392,13215,1982,434,9089,10198,14293,8779,7243,14785,9513,12637,2710,7857,6882,8231,3625,11679,10649,8906,4625,10399,3269,4956,6231,12169,10867,7854,14081,11691,7743,1632,13912,10673,13287,11263,13301,12928,2489,13318,6260,13459,3248,6983,5195,6018,14746,13910,4957,7269,7350,10327,8204,3245,663,12498,708,11572,7091,9458,6295,7435,10602,906,5072,1280,14216,11207,8687,1456,216,3925,5476,5848,3366,9475,4490,2077,10493,10263,3039,2475,439,7534,9578,1427,3278
